Date,Open,High,Low,Close,Volume,Market Cap
Feb-19-2021,1926.540954058,1959.25959197,1886.000241958,1950.33821389,50698098934.25925,220911151056.7558
Feb-18-2021,1845.136404918,1937.155854269,1845.136404918,1924.322706533,53999855956.57917,218122365160.39685
Feb-17-2021,1780.9048429,1850.611813674,1740.604679161,1841.841587839,49391979613.00318,206705846494.7863
Feb-16-2021,1781.515509452,1824.742605401,1732.203301141,1783.388753478,51392448545.31964,204516328788.03372
Feb-15-2021,1803.175190228,1832.028207815,1692.343858051,1778.190187559,53889692951.65651,204129961688.06897
Feb-14-2021,1812.441953258,1846.790159224,1790.009772699,1804.822142695,47153885175.01547,208859532549.63217
Feb-13-2021,1839.296662606,1865.725076705,1773.587535721,1810.679595308,55058152711.43413,208675349893.8134
Feb-12-2021,1786.450941236,1857.992870711,1747.625572091,1840.848917148,52066984581.37952,205640343115.44788
Feb-11-2021,1742.35166098,1808.740446561,1713.388102317,1779.925305264,54693213689.393295,202077386093.1614
Feb-10-2021,1769.266943543,1825.557257994,1689.29918232,1742.193880436,62851334886.27421,202302962843.2887
Feb-09-2021,1754.043716365,1807.041935347,1714.450002602,1767.664448768,70192533802.42464,200692708968.18463
Feb-08-2021,1615.010367499,1769.672984124,1571.898909008,1747.959634061,61836707429.3533,190887316030.97025
Feb-07-2021,1678.682379689,1690.569363604,1500.109549583,1613.342017918,54472202357.211784,184283957472.41125
Feb-06-2021,1722.12019728,1740.31480488,1653.012383472,1675.289347758,62409578101.26129,193803156410.742
Feb-05-2021,1596.839657043,1758.480607669,1596.839657043,1715.445469406,64957851199.79559,191558387721.76572
Feb-04-2021,1664.337903137,1692.529020884,1564.966966014,1593.07972489,69234192110.52061,188340036905.12354
Feb-03-2021,1514.304823054,1662.07451972,1513.794088524,1662.07451972,72681831089.72115,180131952917.71375
Feb-02-2021,1371.951572705,1546.106454734,1366.850386559,1516.837913238,56250945162.93805,164906432245.89307
Feb-01-2021,1313.638975359,1373.843459124,1277.668886252,1373.843459124,42264270582.10683,151547773703.21667
Jan-31-2021,1375.221178859,1377.734489716,1289.264631615,1315.587630859,37349232211.3779,153177365281.8127
Jan-30-2021,1381.158688579,1400.192611215,1331.080317955,1379.867068339,61266389536.710815,155705536956.90442
Jan-29-2021,1334.917808915,1429.036567381,1295.99193611,1387.439978418,66558092995.15381,155903909257.21887
Jan-28-2021,1252.531546964,1357.175689141,1224.034932118,1331.961424886,60091691953.16979,149948979647.6473
Jan-27-2021,1362.995782518,1366.099612093,1215.430041733,1250.249614514,61210536935.20993,146738943477.9639
Jan-26-2021,1322.313127755,1371.622973545,1251.734445723,1356.036023241,64819621702.518906,151704261005.39264
Jan-25-2021,1392.181697479,1463.065644961,1311.942580803,1322.609995904,65227836093.71216,160632114841.9383
Jan-24-2021,1234.232438001,1397.406839193,1228.046950762,1397.406839193,45300423691.65884,150906609117.61362
Jan-23-2021,1236.376384497,1271.518276772,1203.253254759,1231.985488668,46981137924.26482,142160104863.416
Jan-22-2021,1120.961436406,1272.354830584,1047.741913039,1237.203402514,78630119586.19547,136581632502.33835
Jan-21-2021,1377.877321411,1378.407099431,1098.657772734,1128.559276247,70734494737.57494,143333717589.0029
Jan-20-2021,1375.560773134,1403.278939717,1243.607283904,1385.325719148,76141583200.16394,152605052292.24884
Jan-19-2021,1259.33620875,1427.175262344,1255.551822295,1386.98081218,60479280675.5025,156467075270.19852
Jan-18-2021,1234.467843321,1260.238661084,1187.844748272,1260.238661084,43122868894.01037,140298020785.50586
Jan-17-2021,1229.650905818,1268.291605118,1174.88761693,1234.467925024,51283343265.1442,140011451226.6686
Jan-16-2021,1171.890015013,1285.778492683,1155.918232051,1235.766738172,55657526833.38291,138951671848.07645
Jan-15-2021,1220.514139066,1251.778369055,1088.65836296,1166.958014808,54737261213.83709,136634407069.99759
Jan-14-2021,1132.295139701,1244.069800787,1094.997820433,1220.241033479,45944451364.511345,133757391116.16
Jan-13-2021,1049.92706161,1134.814214075,993.590997213,1130.065833872,52027694718.785355,122028960436.7805
Jan-12-2021,1091.806095005,1147.680907097,1020.566617372,1044.332167129,79469006351.34503,124096575846.87712
Jan-11-2021,1261.123629239,1261.123629239,926.606220764,1091.401730226,82360308517.97612,122548355276.07928
Jan-10-2021,1281.157188706,1347.314268958,1186.689738394,1263.993464009,57825073378.14089,148884402277.58685
Jan-09-2021,1218.928226794,1302.811666173,1178.471553288,1284.753112714,56769902511.29867,139875193474.2568
Jan-08-2021,1226.194419254,1271.78220296,1084.56771964,1219.75417602,74834975973.38991,137209481945.74884
Jan-07-2021,1210.802895462,1285.913678071,1165.888174574,1226.270760769,69636874878.29745,139281646039.65222
Jan-06-2021,1100.763600351,1208.067837253,1063.596389609,1207.112288746,66136904550.03913,129833780388.10132
Jan-05-2021,1043.052999786,1126.863340374,988.166014122,1102.305802444,87973351491.36487,120627872433.06578
Jan-04-2021,976.801806718,1152.226308046,916.755032657,1040.789196724,99914889203.75731,115565400020.68765
Jan-03-2021,771.219259193,1008.35935322,771.135299817,982.082462806,42437519218.11326,97932978277.89398
Jan-02-2021,731.435387636,786.291987118,718.063089123,771.806380703,22035309315.237297,85527530455.51093
Jan-01-2021,743.134659745,754.297612055,722.419457314,730.868534178,23706827592.346474,84369986354.00629
Dec-31-2020,753.30415685,756.931006003,730.761952387,744.03743925,32085916100.308968,84951925020.5771
